TreeBias,EnsBias,TreeVar,EnsVar
0.1518,0.126,0.114892159999995,0.0870175999999953
0.1412,0.136,0.0912825599999954,0.0955475199999952
0.1568,0.1092,0.101944959999995,0.0666067199999966
0.1496,0.1202,0.113521279999995,0.0819910399999959
0.1504,0.1172,0.0931103999999952,0.0766598399999958
0.1572,0.1178,0.108647039999995,0.0917395199999949
0.1498,0.1226,0.106057599999995,0.0856467199999954
0.1666,0.1162,0.119766399999995,0.0889977599999951
0.1578,0.1158,0.123117439999995,0.0819910399999954
0.1668,0.1182,0.127839359999996,0.0938719999999955
0.1624,0.1154,0.108951679999995,0.076812159999996
0.167,0.1244,0.127687039999996,0.0979846399999948
0.1608,0.129,0.119614079999995,0.104534399999995
0.1494,0.1144,0.107885439999995,0.0864083199999952
0.1642,0.1206,0.109103999999995,0.0826003199999959
0.147,0.1138,0.0984415999999949,0.0762028799999961
0.1536,0.1242,0.102249599999995,0.0856467199999955
0.1344,0.1178,0.0873222399999957,0.0835142399999956
0.1696,0.1162,0.119614079999995,0.0896070399999953
0.1608,0.114,0.114739839999995,0.0830572799999956
0.156,0.1142,0.0891500799999956,0.0749843199999962
0.153,0.1172,0.104229759999995,0.0833619199999957
0.1396,0.1094,0.095852159999995,0.061580159999997
0.1326,0.1098,0.0978323199999949,0.0704147199999962
0.1664,0.1108,0.134236799999995,0.0882361599999955
0.1512,0.1132,0.0988985599999947,0.0757459199999963
0.1786,0.1192,0.129210239999996,0.0921964799999951
0.1502,0.1054,0.111845759999995,0.0889977599999952
0.1712,0.1204,0.147640959999996,0.0912825599999951
0.1558,0.119,0.099355519999995,0.0731564799999966
0.1482,0.1234,0.110017919999995,0.0941766399999949
0.1638,0.1294,0.128600959999995,0.105752959999995
0.1524,0.1128,0.117786239999995,0.0803155199999959
0.146,0.122,0.104077439999995,0.0928057599999951
0.158,0.1216,0.122051199999995,0.102249599999995
0.1564,0.119,0.110779519999995,0.0871699199999957
0.1432,0.1174,0.105600639999995,0.0856467199999956
0.1752,0.1266,0.130276479999996,0.107276159999995
0.1952,0.1224,0.147336319999996,0.0900639999999955
0.1484,0.1276,0.0876268799999955,0.0897593599999952
0.1768,0.1124,0.128753279999996,0.0909779199999952
0.1538,0.1222,0.100878719999995,0.0902163199999949
0.1486,0.1174,0.111845759999995,0.0905209599999953
0.1554,0.1182,0.121289599999995,0.0926534399999954
0.1544,0.124,0.105295999999995,0.0897593599999952
0.1432,0.1196,0.110474879999995,0.100421759999995
0.1524,0.116,0.109560959999995,0.0836665599999954
0.143,0.118,0.0838188799999958,0.0711763199999962
0.1608,0.1046,0.116263039999995,0.0716332799999964
0.1546,0.1228,0.111845759999995,0.0909779199999955
0.1396,0.1164,0.109865599999995,0.0928057599999952
0.1656,0.1282,0.116567679999995,0.0963091199999949
0.147,0.115,0.091130239999995,0.0701100799999961
0.1486,0.113,0.0978323199999953,0.0822956799999959
0.1652,0.108,0.106819199999995,0.0699577599999968
0.1526,0.1126,0.111236479999995,0.0822956799999958
0.1796,0.1284,0.124183679999995,0.0979846399999948
0.1732,0.1148,0.126620799999996,0.0848851199999956
0.161,0.1176,0.110017919999995,0.0964614399999948
0.1546,0.125,0.0987462399999951,0.0819910399999957
0.1444,0.1202,0.103163519999994,0.0795539199999958
0.1656,0.117,0.122051199999995,0.0880838399999954
0.1638,0.1206,0.117024639999995,0.0956998399999951
0.1464,0.122,0.0988985599999949,0.0879315199999952
0.175,0.1172,0.122203519999995,0.0894547199999952
0.1686,0.1268,0.107885439999995,0.0928057599999954
0.1706,0.1228,0.121594239999995,0.0995078399999947
0.1502,0.1208,0.117024639999995,0.0915871999999955
0.1666,0.1252,0.117329279999995,0.0888454399999951
0.1528,0.1198,0.115349119999995,0.0899116799999956
0.1578,0.1156,0.0932627199999953,0.0763551999999962
0.158,0.1146,0.117481599999995,0.0826003199999959
0.169,0.1082,0.126773119999995,0.0734611199999965
0.1404,0.1072,0.0998124799999948,0.0797062399999957
0.141,0.1084,0.110017919999995,0.0861036799999955
0.1596,0.1058,0.113216639999995,0.0746796799999961
0.163,0.1196,0.120375679999995,0.0928057599999952
0.1812,0.1218,0.131799679999996,0.0917395199999952
0.155,0.117,0.113673599999995,0.0856467199999957
0.1714,0.11,0.130428799999996,0.0842758399999958
0.151,0.1206,0.109713279999995,0.0923487999999951
0.1774,0.1252,0.131647359999995,0.0955475199999948
0.1556,0.117,0.113825919999995,0.0850374399999956
0.1538,0.1254,0.114282879999995,0.0841235199999956
0.151,0.1198,0.110931839999995,0.0917395199999955
0.152,0.117,0.104991359999995,0.0765075199999962
0.1424,0.1174,0.104686719999995,0.0969183999999947
0.16,0.1176,0.108951679999995,0.0854943999999952
0.1474,0.12,0.101792639999995,0.0842758399999953
0.1582,0.1134,0.113368959999995,0.0838188799999957
0.164,0.1296,0.132104319999996,0.103468159999995
0.1466,0.1116,0.0996601599999951,0.0794015999999959
0.152,0.129,0.0982892799999947,0.0972230399999947
0.1414,0.1214,0.105143679999995,0.0899116799999955
0.148,0.1134,0.114130559999995,0.0944812799999952
0.1704,0.1066,0.112911999999995,0.0719379199999965
0.1582,0.1134,0.118852479999995,0.0762028799999959
0.1468,0.1082,0.119918719999995,0.0832095999999956
0.174,0.1234,0.124488319999995,0.0956998399999953
0.1448,0.1074,0.0958521599999951,0.076812159999996
FinalVals
0.15684,0.11802,0.111961523199995,0.0865362687999956